Site,Year,Seeding,Cultivar,DOY,Rep,LAI,MTVI1,NDVI,OSAVI,RDVI
Gwangju,2018,Autumn,Black,70,1,1.12,0.43,0.68,0.47,0.43
Gwangju,2018,Autumn,Black,72,1,1.32,0.5,0.77,0.53,0.5
Gwangju,2018,Autumn,Black,76,1,2.2,0.59,0.86,0.6,0.57
Gwangju,2018,Autumn,Black,81,1,2.27,0.71,0.91,0.65,0.64
Gwangju,2018,Autumn,Black,86,1,3.2,0.69,0.9,0.64,0.63
Gwangju,2018,Autumn,Black,90,1,4.12,0.89,0.94,0.71,0.74
Gwangju,2018,Autumn,Black,95,1,4.94,0.89,0.92,0.69,0.72
Gwangju,2018,Autumn,Black,106,1,5.72,0.92,0.94,0.71,0.75
Gwangju,2018,Autumn,Black,111,1,5.43,0.74,0.93,0.68,0.67
Gwangju,2018,Autumn,Black,116,1,5.32,0.75,0.94,0.69,0.68
Gwangju,2018,Autumn,Black,125,1,5.12,0.69,0.91,0.66,0.64
Gwangju,2018,Autumn,Black,70,2,0.79,0.45,0.66,0.47,0.44
Gwangju,2018,Autumn,Black,72,2,0.82,0.51,0.76,0.53,0.5
Gwangju,2018,Autumn,Black,76,2,1.79,0.74,0.92,0.67,0.66
Gwangju,2018,Autumn,Black,81,2,2.45,0.74,0.92,0.67,0.66
Gwangju,2018,Autumn,Black,86,2,2.99,0.72,0.91,0.66,0.65
Gwangju,2018,Autumn,Black,90,2,4.43,0.93,0.95,0.72,0.76
Gwangju,2018,Autumn,Black,95,2,4.21,1.06,0.92,0.71,0.79
Gwangju,2018,Autumn,Black,106,2,5.14,0.95,0.93,0.7,0.75
Gwangju,2018,Autumn,Black,111,2,5.79,0.77,0.92,0.67,0.67
Gwangju,2018,Autumn,Black,116,2,5.47,0.82,0.93,0.69,0.7
Gwangju,2018,Autumn,Black,125,2,4.33,0.68,0.9,0.64,0.63
Gwangju,2018,Autumn,Black,70,3,0.84,0.43,0.64,0.46,0.43
Gwangju,2018,Autumn,Black,72,3,1.04,0.45,0.68,0.49,0.45
Gwangju,2018,Autumn,Black,76,3,2.06,0.71,0.9,0.66,0.65
Gwangju,2018,Autumn,Black,81,3,2.92,0.73,0.9,0.66,0.65
Gwangju,2018,Autumn,Black,86,3,3.07,0.79,0.93,0.68,0.69
Gwangju,2018,Autumn,Black,90,3,4,0.91,0.95,0.72,0.75
Gwangju,2018,Autumn,Black,95,3,4.49,1.06,0.92,0.71,0.79
Gwangju,2018,Autumn,Black,106,3,5.97,0.96,0.93,0.7,0.75
Gwangju,2018,Autumn,Black,111,3,5.51,0.91,0.94,0.71,0.74
Gwangju,2018,Autumn,Black,116,3,5.32,0.94,0.95,0.73,0.77
Gwangju,2018,Autumn,Black,125,3,4.03,0.81,0.93,0.69,0.7
Gwangju,2018,Autumn,HeenChal,70,1,0.6,0.28,0.46,0.33,0.3
Gwangju,2018,Autumn,HeenChal,72,1,1.03,0.37,0.59,0.41,0.38
Gwangju,2018,Autumn,HeenChal,76,1,1.95,0.5,0.75,0.53,0.49
Gwangju,2018,Autumn,HeenChal,81,1,2.13,0.51,0.75,0.53,0.49
Gwangju,2018,Autumn,HeenChal,86,1,2.35,0.58,0.84,0.58,0.55
Gwangju,2018,Autumn,HeenChal,90,1,4.06,0.68,0.88,0.64,0.62
Gwangju,2018,Autumn,HeenChal,95,1,4.78,0.69,0.9,0.65,0.63
Gwangju,2018,Autumn,HeenChal,106,1,5.82,0.74,0.93,0.68,0.67
Gwangju,2018,Autumn,HeenChal,111,1,4.76,0.76,0.92,0.68,0.68
Gwangju,2018,Autumn,HeenChal,116,1,3.95,0.6,0.87,0.61,0.58
Gwangju,2018,Autumn,HeenChal,125,1,3.64,0.52,0.82,0.57,0.52
Gwangju,2018,Autumn,HeenChal,70,2,0.52,0.32,0.52,0.37,0.34
Gwangju,2018,Autumn,HeenChal,72,2,0.62,0.39,0.64,0.45,0.4
Gwangju,2018,Autumn,HeenChal,76,2,1.33,0.59,0.84,0.59,0.56
Gwangju,2018,Autumn,HeenChal,81,2,2.37,0.56,0.83,0.58,0.55
Gwangju,2018,Autumn,HeenChal,86,2,2.81,0.65,0.89,0.63,0.61
Gwangju,2018,Autumn,HeenChal,90,2,3.59,0.68,0.91,0.65,0.63
Gwangju,2018,Autumn,HeenChal,95,2,4.51,0.9,0.94,0.71,0.74
Gwangju,2018,Autumn,HeenChal,106,2,6.1,0.88,0.95,0.72,0.74
Gwangju,2018,Autumn,HeenChal,111,2,5.67,0.87,0.94,0.72,0.73
Gwangju,2018,Autumn,HeenChal,116,2,5.57,0.85,0.95,0.72,0.73
Gwangju,2018,Autumn,HeenChal,125,2,5.17,0.66,0.9,0.64,0.62
Gwangju,2018,Autumn,HeenChal,70,3,0.53,0.38,0.58,0.41,0.38
Gwangju,2018,Autumn,HeenChal,72,3,1.31,0.48,0.69,0.49,0.46
Gwangju,2018,Autumn,HeenChal,76,3,2.64,0.68,0.89,0.64,0.62
Gwangju,2018,Autumn,HeenChal,81,3,2.83,0.74,0.91,0.66,0.66
Gwangju,2018,Autumn,HeenChal,86,3,3.12,0.65,0.9,0.64,0.61
Gwangju,2018,Autumn,HeenChal,90,3,4.49,0.82,0.95,0.71,0.72
Gwangju,2018,Autumn,HeenChal,95,3,4.43,0.85,0.94,0.71,0.72
Gwangju,2018,Autumn,HeenChal,106,3,6.71,0.85,0.95,0.72,0.73
Gwangju,2018,Autumn,HeenChal,111,3,6.63,0.84,0.95,0.72,0.72
Gwangju,2018,Autumn,HeenChal,116,3,5.67,0.79,0.95,0.71,0.7
Gwangju,2018,Autumn,HeenChal,125,3,4.4,0.72,0.94,0.69,0.67
Gwangju,2018,Autumn,Hopum,70,1,0.8,0.37,0.59,0.41,0.38
Gwangju,2018,Autumn,Hopum,72,1,0.92,0.43,0.67,0.47,0.43
Gwangju,2018,Autumn,Hopum,76,1,1.58,0.5,0.79,0.54,0.5
Gwangju,2018,Autumn,Hopum,81,1,2.62,0.49,0.77,0.53,0.49
Gwangju,2018,Autumn,Hopum,86,1,2.72,0.7,0.91,0.65,0.64
Gwangju,2018,Autumn,Hopum,90,1,4.17,0.66,0.9,0.63,0.62
Gwangju,2018,Autumn,Hopum,95,1,4.2,0.81,0.9,0.66,0.68
Gwangju,2018,Autumn,Hopum,106,1,4.64,0.7,0.9,0.64,0.63
Gwangju,2018,Autumn,Hopum,111,1,4.16,0.61,0.89,0.61,0.58
Gwangju,2018,Autumn,Hopum,116,1,4.12,0.61,0.88,0.61,0.58
Gwangju,2018,Autumn,Hopum,125,1,3.43,0.67,0.9,0.64,0.62
Gwangju,2018,Autumn,Hopum,70,2,1.32,0.56,0.78,0.56,0.53
Gwangju,2018,Autumn,Hopum,72,2,1.53,0.62,0.85,0.61,0.58
Gwangju,2018,Autumn,Hopum,76,2,2.85,0.83,0.94,0.7,0.71
Gwangju,2018,Autumn,Hopum,81,2,3.38,0.84,0.94,0.7,0.72
Gwangju,2018,Autumn,Hopum,86,2,4.05,0.83,0.94,0.7,0.71
Gwangju,2018,Autumn,Hopum,90,2,5.88,0.92,0.95,0.72,0.76
