Site,Cultivar,Year,DOY,Rep,LAI,MTVI1,NDVI,OSAVI,RDVI
CNU,Dongjin,2011,188,1,0.925,0.29,0.56,0.37,0.32
CNU,Dongjin,2011,188,2,0.874,0.33,0.58,0.39,0.35
CNU,Dongjin,2011,188,3,0.633,0.29,0.52,0.35,0.31
CNU,Dongjin,2011,188,4,0.74,0.25,0.49,0.33,0.29
CNU,Dongjin,2011,194,1,1.24,0.4,0.75,0.48,0.43
CNU,Dongjin,2011,194,1,1.22,0.4,0.74,0.48,0.43
CNU,Dongjin,2011,194,3,1.32,0.39,0.69,0.46,0.42
CNU,Dongjin,2011,194,4,1.22,0.4,0.69,0.47,0.42
CNU,Dongjin,2011,201,1,2.11,0.14,0.83,0.12,0.16
CNU,Dongjin,2011,201,1,1.67,0.36,0.78,0.47,0.42
CNU,Dongjin,2011,201,3,2.04,0.36,0.71,0.45,0.4
CNU,Dongjin,2011,201,4,1.39,0.38,0.69,0.44,0.4
CNU,Dongjin,2011,207,1,2.58,0.57,0.86,0.58,0.55
CNU,Dongjin,2011,207,1,2.28,0.56,0.86,0.58,0.55
CNU,Dongjin,2011,207,3,2.52,0.56,0.84,0.58,0.54
CNU,Dongjin,2011,207,4,2.49,0.65,0.87,0.62,0.6
CNU,Dongjin,2011,215,1,2.94,0.48,0.83,0.54,0.5
CNU,Dongjin,2011,215,1,2.82,0.47,0.83,0.54,0.49
CNU,Dongjin,2011,215,3,2.81,0.55,0.87,0.59,0.55
CNU,Dongjin,2011,215,4,2.73,0.53,0.86,0.58,0.54
CNU,Dongjin,2011,223,1,2.68,0.66,0.91,0.64,0.62
CNU,Dongjin,2011,223,1,3.21,0.66,0.91,0.64,0.62
CNU,Dongjin,2011,223,3,3.14,0.74,0.94,0.68,0.67
CNU,Dongjin,2011,223,4,3.03,0.71,0.92,0.66,0.65
CNU,Dongjin,2011,229,1,3.22,0.65,0.9,0.63,0.61
CNU,Dongjin,2011,229,2,3.75,0.67,0.9,0.64,0.62
CNU,Dongjin,2011,229,3,3.71,0.67,0.9,0.64,0.62
CNU,Dongjin,2011,229,4,3.32,0.6,0.88,0.61,0.58
CNU,Dongjin,2011,236,1,3.44,0.68,0.9,0.64,0.63
CNU,Dongjin,2011,236,2,3.84,0.73,0.91,0.66,0.65
CNU,Dongjin,2011,236,3,3.81,0.73,0.9,0.65,0.65
CNU,Dongjin,2011,236,4,3.31,0.64,0.89,0.63,0.6
CNU,Dongjin,2011,243,1,3.5,0.69,0.85,0.61,0.6
CNU,Dongjin,2011,243,2,3.69,0.75,0.86,0.63,0.64
CNU,Dongjin,2011,243,3,3.73,0.76,0.87,0.63,0.64
CNU,Dongjin,2011,243,4,3.58,0.74,0.86,0.63,0.64
