Site,Year,Seeding,Cultivar,Trt,DOY,Rep,LAI,MTVI1,NDVI,OSAVI,RDVI
Jinju,2018,Autumn,KeumKang,na,101,m,4.72,0.85,0.92,0.69,0.71
Jinju,2018,Autumn,KeumKang,na,115,m,4.46,0.74,0.9,0.66,0.65
Jinju,2018,Autumn,KeumKang,na,130,m,3.27,0.65,0.89,0.63,0.61
Jinju,2018,Autumn,KeumKang,na,144,m,2.74,0.38,0.65,0.72,0.39
Jinju,2018,Spring,KeumKang,na,101,m,1.35,0.39,0.54,0.38,0.36
Jinju,2018,Spring,KeumKang,na,115,m,2.42,0.6,0.79,0.54,0.54
Jinju,2018,Spring,KeumKang,na,130,m,3.67,0.6,0.85,0.59,0.57
Jinju,2018,Spring,KeumKang,na,158,m,2.3,0.22,0.46,0.5,0.27
Jinju,2018,Autumn,ChoGyeong,na,101,m,3.32,0.86,0.92,0.68,0.71
Jinju,2018,Autumn,ChoGyeong,na,115,m,3.29,0.67,0.89,0.63,0.62
Jinju,2018,Autumn,ChoGyeong,na,130,m,2.91,0.58,0.86,0.59,0.56
Jinju,2018,Spring,ChoGyeong,na,101,m,1.35,0.45,0.65,0.44,0.42
Jinju,2018,Spring,ChoGyeong,na,115,m,2.53,0.54,0.77,0.52,0.5
Jinju,2018,Spring,ChoGyeong,na,130,m,3.31,0.65,0.87,0.61,0.6
Jinju,2018,Spring,ChoGyeong,na,158,m,2.11,0.17,0.41,0.44,0.23
CNU,2018,Spring,ChoKyeong,na,100,m,1.65,0.44,0.64,0.47,0.42
CNU,2018,Spring,ChoKyeong,na,106,m,1.84,0.47,0.79,0.55,0.48
CNU,2018,Spring,ChoKyeong,na,111,m,2.89,0.63,0.83,0.63,0.58
CNU,2018,Spring,ChoKyeong,na,117,m,3.57,0.79,0.9,0.7,0.67
CNU,2018,Spring,ChoKyeong,na,124,m,4.19,0.77,0.89,0.69,0.66
CNU,2018,Spring,ChoKyeong,na,128,m,4.28,0.76,0.92,0.71,0.67
CNU,2018,Spring,ChoKyeong,na,134,m,4.44,0.69,0.9,0.67,0.63
CNU,2018,Spring,ChoKyeong,na,141,m,4.63,0.57,0.84,0.62,0.55
CNU,2018,Spring,ChoKyeong,na,149,m,4.08,0.46,0.7,0.5,0.45
CNU,2019,Autumn,ChoGyeong,na,59,m,1.42,0.57,0.76,0.58,0.53
CNU,2019,Autumn,ChoGyeong,na,67,m,3.05,0.69,0.86,0.66,0.63
CNU,2019,Autumn,ChoGyeong,na,75,m,3.47,0.7,0.89,0.68,0.64
CNU,2019,Autumn,ChoGyeong,na,83,m,4.54,0.8,0.93,0.72,0.7
CNU,2019,Autumn,ChoGyeong,na,94,m,5.24,0.89,0.91,0.73,0.73
CNU,2019,Autumn,ChoGyeong,na,120,m,5.69,0.88,0.94,0.75,0.74
CNU,2019,Autumn,ChoGyeong,na,130,m,3.28,0.82,0.91,0.72,0.71
Jinju,2019,Autumn,ChoKyeong,N0,102,m,2.11,0.38,0.65,0.45,0.4
Jinju,2019,Autumn,ChoKyeong,N0,111,m,2.07,0.43,0.62,0.46,0.42
Jinju,2019,Autumn,ChoKyeong,N0,145,m,1.07,0.11,0.3,0.2,0.16
Jinju,2019,Autumn,ChoKyeong,N1,81,m,1.89,0.57,0.82,0.6,0.55
Jinju,2019,Autumn,ChoKyeong,N1,102,m,2.16,0.5,0.79,0.56,0.5
Jinju,2019,Autumn,ChoKyeong,N1,111,m,2.16,0.61,0.8,0.6,0.56
Jinju,2019,Autumn,ChoKyeong,N1,145,m,1.27,0.09,0.31,0.19,0.16
Jinju,2019,Autumn,ChoKyeong,N2,81,m,2.04,0.65,0.84,0.63,0.59
Jinju,2019,Autumn,ChoKyeong,N2,102,m,2.59,0.54,0.81,0.58,0.52
Jinju,2019,Autumn,ChoKyeong,N2,111,m,2.61,0.63,0.83,0.62,0.58
Jinju,2019,Autumn,ChoKyeong,N2,145,m,1.45,0.08,0.29,0.19,0.16
Jinju,2019,Autumn,ChoKyeong,N3,81,m,2.17,0.76,0.92,0.7,0.67
Jinju,2019,Autumn,ChoKyeong,N3,102,m,3.02,0.63,0.86,0.64,0.59
Jinju,2019,Autumn,ChoKyeong,N3,111,m,2.82,0.72,0.9,0.69,0.65
Jinju,2019,Autumn,ChoKyeong,N3,145,m,1.46,0.11,0.32,0.22,0.19
Jinju,2019,Autumn,ChoKyeong,N4,81,m,2.45,0.78,0.92,0.71,0.68
Jinju,2019,Autumn,ChoKyeong,N4,102,m,3.22,0.67,0.89,0.67,0.62
Jinju,2019,Autumn,ChoKyeong,N4,111,m,3.57,0.7,0.89,0.68,0.64
Jinju,2019,Autumn,ChoKyeong,N4,145,m,1.7,0.09,0.3,0.2,0.17
Jinju,2019,Autumn,ChoKyeong,N5,102,m,3.45,0.76,0.9,0.7,0.66
Jinju,2019,Autumn,ChoKyeong,N5,111,m,3.9,0.7,0.89,0.67,0.63
Jinju,2019,Autumn,ChoKyeong,N5,145,m,1.87,0.1,0.3,0.21,0.18
Jinju,2019,Autumn,ChoKyeong,N6,102,m,3.53,0.83,0.93,0.73,0.71
Jinju,2019,Autumn,ChoKyeong,N6,111,m,3.84,0.74,0.91,0.7,0.66
Jinju,2019,Autumn,ChoKyeong,N430,68,m,2.16,0.63,0.94,0.69,0.62
Jinju,2019,Autumn,ChoKyeong,N430,81,m,2.64,0.82,0.93,0.73,0.7
Jinju,2019,Autumn,ChoKyeong,N430,102,m,2.69,0.64,0.86,0.64,0.59
Jinju,2019,Autumn,ChoKyeong,N430,111,m,3.3,0.68,0.85,0.65,0.61
Jinju,2019,Autumn,ChoKyeong,N433,68,m,1.92,0.65,0.95,0.69,0.63
Jinju,2019,Autumn,ChoKyeong,N433,81,m,2.13,0.78,0.91,0.71,0.68
Jinju,2019,Autumn,ChoKyeong,N433,102,m,2.49,0.57,0.83,0.61,0.55
Jinju,2019,Autumn,ChoKyeong,N433,111,m,3.31,0.63,0.83,0.62,0.58
Jinju,2019,Autumn,ChoKyeong,N436,68,m,2.28,0.63,0.94,0.69,0.62
Jinju,2019,Autumn,ChoKyeong,N436,81,m,2.66,0.87,0.94,0.74,0.73
Jinju,2019,Autumn,ChoKyeong,N436,102,m,2.79,0.64,0.87,0.65,0.6
Jinju,2019,Autumn,ChoKyeong,N436,111,m,4.34,0.71,0.88,0.67,0.64
Jinju,2019,Spring,ChoKyeong,CS-1,102,m,1.4,0.51,0.74,0.54,0.49
Jinju,2019,Spring,ChoKyeong,CS-1,111,m,3.96,0.74,0.87,0.67,0.65
Jinju,2019,Spring,ChoKyeong,CS-1,145,m,1.41,0.44,0.73,0.52,0.45
Jinju,2019,Spring,ChoKyeong,CS-1,102,m,1.35,0.57,0.79,0.58,0.53
Jinju,2019,Spring,ChoKyeong,CS-1,111,m,3.53,0.77,0.89,0.69,0.66
Jinju,2019,Spring,ChoKyeong,CS-2,145,m,1.73,0.42,0.7,0.5,0.44
Jinju,2019,Spring,ChoKyeong,CS-2,102,m,1.48,0.54,0.77,0.57,0.51
Jinju,2019,Spring,ChoKyeong,CS-2,111,m,3.93,0.66,0.79,0.6,0.57
Jinju,2019,Spring,ChoKyeong,CS-2,145,m,1.67,0.48,0.76,0.54,0.48
Jinju,2021,Fall,ChoKyeong,1,59,2,0.62,0.4,0.55,0.41,0.38
Jinju,2021,Fall,ChoKyeong,2,59,3,0.62,0.38,0.53,0.4,0.37
Jinju,2021,Fall,ChoKyeong,1,59,1,0.58,0.38,0.55,0.41,0.38
Jinju,2021,Fall,ChoKyeong,2,59,2,0.71,0.42,0.6,0.45,0.41
Jinju,2021,Fall,ChoKyeong,2,59,1,0.67,0.41,0.8,0.53,0.44
Jinju,2021,Fall,ChoKyeong,3,59,2,0.72,0.42,0.83,0.54,0.46
Jinju,2021,Fall,ChoKyeong,1,59,3,0.66,0.4,0.77,0.5,0.42
Jinju,2021,Fall,ChoKyeong,3,59,1,0.69,0.4,0.77,0.51,0.43
Jinju,2021,Fall,ChoKyeong,3,59,3,0.67,0.39,0.75,0.49,0.42
Jinju,2021,Fall,ChoKyeong,1,69,2,1.15,0.41,0.79,0.53,0.45
Jinju,2021,Fall,ChoKyeong,2,69,3,1.12,0.45,0.84,0.57,0.49
Jinju,2021,Fall,ChoKyeong,1,69,1,1.32,0.39,0.79,0.52,0.44
Jinju,2021,Fall,ChoKyeong,2,69,2,1.46,0.48,0.86,0.59,0.51
Jinju,2021,Fall,ChoKyeong,2,69,1,1.31,0.43,0.81,0.55,0.47
Jinju,2021,Fall,ChoKyeong,3,69,2,1.57,0.44,0.84,0.57,0.49
Jinju,2021,Fall,ChoKyeong,1,69,3,1.29,0.42,0.84,0.56,0.47
Jinju,2021,Fall,ChoKyeong,3,69,1,1.41,0.42,0.79,0.54,0.46
Jinju,2021,Fall,ChoKyeong,3,69,3,1.22,0.44,0.83,0.56,0.48
Jinju,2021,Fall,ChoKyeong,1,84,2,3.69,0.42,0.96,0.61,0.51
Jinju,2021,Fall,ChoKyeong,2,84,3,4.08,0.46,0.97,0.64,0.54
Jinju,2021,Fall,ChoKyeong,1,84,1,4.52,0.43,0.96,0.62,0.51
Jinju,2021,Fall,ChoKyeong,2,84,2,4.74,0.5,0.98,0.66,0.56
Jinju,2021,Fall,ChoKyeong,2,84,1,4.44,0.46,0.97,0.63,0.53
Jinju,2021,Fall,ChoKyeong,3,84,2,4.91,0.52,0.97,0.67,0.57
Jinju,2021,Fall,ChoKyeong,1,84,3,4.1,0.46,0.97,0.64,0.54
Jinju,2021,Fall,ChoKyeong,3,84,1,4.94,0.47,0.97,0.64,0.54
Jinju,2021,Fall,ChoKyeong,3,84,3,4.97,0.49,0.97,0.65,0.55
Jinju,2021,Fall,ChoKyeong,1,97,2,3.44,0.52,0.92,0.64,0.55
Jinju,2021,Fall,ChoKyeong,2,97,3,3.43,0.53,0.92,0.64,0.55
Jinju,2021,Fall,ChoKyeong,1,97,1,3.34,0.54,0.93,0.65,0.57
Jinju,2021,Fall,ChoKyeong,2,97,2,3.96,0.53,0.91,0.64,0.56
Jinju,2021,Fall,ChoKyeong,2,97,1,3.84,0.6,0.93,0.67,0.6
Jinju,2021,Fall,ChoKyeong,3,97,2,4.78,0.57,0.92,0.66,0.58
Jinju,2021,Fall,ChoKyeong,1,97,3,3.67,0.6,0.93,0.68,0.6
Jinju,2021,Fall,ChoKyeong,3,97,1,4.4,0.55,0.92,0.65,0.57
Jinju,2021,Fall,ChoKyeong,3,97,3,4.28,0.65,0.94,0.69,0.63
Jinju,2021,Spring,ChoKyeong,1,97,1,1.25,0.59,0.93,0.67,0.59
Jinju,2021,Spring,ChoKyeong,1,97,2,1.39,0.62,0.94,0.68,0.61
Jinju,2021,Spring,ChoKyeong,1,97,3,1.55,0.62,0.94,0.68,0.61
Jinju,2021,Spring,ChoKyeong,1,127,1,3.26,0.6,0.95,0.68,0.61
Jinju,2021,Spring,ChoKyeong,1,127,2,3.06,0.56,0.94,0.66,0.58
Jinju,2021,Spring,ChoKyeong,1,127,3,3.83,0.66,0.96,0.71,0.65
Jinju,2021,Spring,ChoKyeong,1,148,1,2.58,0.41,0.75,0.52,0.45
Jinju,2021,Spring,ChoKyeong,1,148,2,2.3,0.4,0.74,0.51,0.44
Jinju,2021,Spring,ChoKyeong,1,148,3,3.2,0.5,0.85,0.6,0.52
Jinju,2021,Spring,ChoKyeong,1,158,1,2,0.16,0.38,0.26,0.22
Jinju,2021,Spring,ChoKyeong,1,158,2,1.8,0.12,0.34,0.22,0.18
Jinju,2021,Spring,ChoKyeong,1,158,3,2.24,0.39,0.52,0.39,0.36
